,tweet,Classification,compound,gt
15,#COVIDー19 duas mulheres em fuga do hospital (mãe e filha) suspeitas de estar infetadas com #coronavírus quem avança c/ esta pérola ? #cmtv,Negative,-0.6249,Negative
16,Corona vírus já fez mais pelo o ambiente do que a Greta,Neutral,0.0,Positive
17,Por conta da pandemia (Corona Vírus) estamos de quarentena! E agora! O que vai ser feito de nós profissionais cabeleireiros??? #cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell… https://www.instagram.com/p/B9uqCzBn4X2/?igshid=ufmt30qep78d,Neutral,0.0,Negative
18,uma coisa é certa: este isolamento social é ótimo p/ ñ levar com gente estúpida #coronavirus | #COVIDー19 | #FicaEmCasa |,Neutral,0.0258,Positive
19,"Ao contrário de ""vacina"" falsa de Cuba, instituto Israelense pretende testar vacina contra o Coronavírus em 90 dias (veja o vídeo) ",Negative,-0.4767,Positive
20,Pegar o corona vírus passa a ser uma esperança,Positive,0.4404,Neutral
21,"Não é que um cota hoje me disse pretos não apanham coronavirus ,contas tão bue inocentes juro",Positive,0.5516,Negative
22,"Nossa amada @pretagil declarou agora nos storie que tá com corona vírus. Melhoras, Pretinha. Você é patrimônio afetivo do Brasil. Estamos todos aqui . Saúde, corazon. Cariño",Positive,0.8519,Neutral
23,Não aguento ver pessoas da minha área minimizando o Coronavírus. Vou dar um desconto pq acho que as informações talvez não estejam chegando de forma adequada no Brasil. Tão comparando a Obesidade. Tipo conspiração da indústria farmacêutica e alimentar ,Negative,-0.5667,Negative
24,"#Pendurados #hanging #Coronavirus #oblige em Lisboa, Portugal - União Européia https://www.instagram.com/p/B9uMD88A00q/?igshid=1bro8a5bc60w9",Neutral,0.0,Neutral
25,Coronavirus é um conspiração das mulheres para os maridos ficarem a limpar a casa.,Negative,-0.1779,Neutral
26,Episódio de Hoje - O SUMIÇO DO PAPEL HIGIÊNICO #papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus em Portugal https://www.instagram.com/p/B9uEtDRJpzj/?igshid=1me41gsqnjdn2,Neutral,0.0,Neutral
27,Da maneira como a malta reage com o #coronavirus admiram-se que nunca ninguém admita que os OVNIs existem?,Neutral,0.0,Negative
28,"Em meio ao coronavirus, acho que é um bom momento para incentivamos a saudação Wakanda como cumprimento universal. ",Positive,0.8859999999999999,Positive
29,o corona vírus que o que é que o que aconteceu no passado obscuro da pra gente conversar sobre isso,Neutral,0.0,Neutral
0,Flávia pavanelli com coronavirus eu to passada,Neutral,0.0,Negative
1,"O Governador do RJ, Witzel pegou coronavirus. Espero que não queira usar cloroquina, nem hidroxicloroquina e o antibiótico azitromicina. Ou vai dizer que agora quer experimentar??? A dor ensina a gemer.... @jairbolsonaro @BolsonaroSP @CarlosBolsonaro",Negative,-0.2173,Negative
2,E assim surgiu o corona vírus ,Neutral,0.0,Neutral
3,Corona Vírus ? Não? Kkkk tudo pelo abraço que se lixe a possível contaminação. Essa saudade vai vos matar ,Negative,-0.8169,Negative
4,Eu já sei qual vai ser a palavra do ano: Coronavírus,Neutral,0.0,Neutral
5,Brasil deve ser o único país do mundo onde parte da população torce pra que os números do coronavírus sejam piores pra falar “tá vendo...” e outra parte desdenha de mortes pq “são poucas...” surreal...,Negative,-0.0772,Negative
6,França ultrapassa as 15 mil vítimas mortais por coronavírus http://dlvr.it/RTmbsx Em http://www.TSF.pt,Negative,-0.5994,Neutral
7,Pessoas que derrotariam o coronavirus (?) ,Negative,-0.4588,Positive
8,Justiça divina seria o corona vírus atacar só aqueles que duvidam da sua existência. Justiça dos homens seria ter uma lista de quem merece prioridade quando precisar de respirador! #COVIDー19,Positive,0.7345,Negative
9,"""Heróis do mar, nobre povo, Nação valente, imortal, Levantai hoje de novo O esplendor de Portugal..."" #covid_19 #coronavirus #portugal #nação #todosjuntos #unidos #força #family #confiança #believe #life… https://www.instagram.com/p/B-8BPrkjeZS/?igshid=i5kwe6bz7eew",Positive,0.9690000000000001,Positive
10,"Portugal é bom exemplo de controle ao avanço do coronavírus, mostra r... https://youtu.be/q9E9241-s20 via @YouTube",Positive,0.4404,Positive
11,Itália ultrapassa os 20 mil mortos por coronavírus http://dlvr.it/RThtXP Em http://www.TSF.pt,Negative,-0.6705,Neutral
12,"As minhas #corridas deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-48rybgCX9/?igshid=17eovdprflw5t",Neutral,0.0,Neutral
13,Meu aniversário tá chegando e eu nem vou poder sair pra comemorar por causa do corona vírus aff,Positive,0.5719,Negative
14,O teu cabrito tem coronavirus?,Neutral,0.0,Neutral
15,"O coronavirus deve ser bom para as peles oleosas, pelos menos dizem que é eficiente a limpar o sebo ...",Positive,0.6908,Neutral
16,personagens que derrotariam o coronavírus ,Negative,-0.4588,Positive
17,Brasil tem 1.124 mortes e 20.727 casos confirmados do novo coronavírus http://dlvr.it/RTcC6c Em http://www.TSF.pt,Neutral,0.0,Neutral
18,Um fato real: o Coronavírus está destruindo a população europeia e norte americana e o Presidente ajuda a espalhar o vírus no Brasil. Comete crime contra a própria pátria.,Negative,-0.6597,Negative
19,"A atitude mais corajosa que tomei na minha vida foi ter logo dito à minha avó que nesta altura do coronavírus ia deixar de a ir ver para caso fosse infetado não a infetar a ela, e digo vos q tou a morrer de sdds da minha avó. FIQUEM EM CASA PARA ISTO PASSAR E EU VOLTAR A VÊ-LA",Negative,-0.1796,Negative
20,Os britânicos já não existem. Degeneraram até à máxima estupidez. Crowds flout coronavirus lockdown as they flock to bask in sunshine https://mol.im/a/8210173 via http://dailym.ai/android,Positive,0.0772,Negative
21,"Não sei onde é que a minha mãe viu que chá de limão mata corona-virus ,agora tenho que tar a beber isso toda hora",Negative,-0.5423,Negative
22,"06/03/2020 - ""Não estão desaconselhadas visitas, não há ainda esse grau de risco"", afirmou Graça Freitas à saída de uma reunião. 29/03/2020 - Responsáveis de lares não podem descansar se um único teste dá negativo ao novo coronavírus, alerta a diretora-geral da Saúde.",Negative,-0.7351,Neutral
23,A CARA DE DOR E SOFRIMENTO DE QUEM CUIDA DE DOENTES DO CORONAVÍRUS. EFEITOS DAS MÁSCARAS DE PROTEÇÃO POR FAVOR FIQUE EM CASA AJUDE QUEM AJUDA!!!,Positive,0.7678,Negative
24,Novo coronavírus já matou mais de 103 mil pessoas em todo o mundo http://dlvr.it/RTbJWc Em http://www.TSF.pt,Negative,-0.6705,Neutral
25,Pois parece que o Mundo do TikTok parece que está a contagiar mais que o Coronavirus ,Positive,0.5574,Neutral
26,"Na vazia Praça de São Pedro, profissionais que trabalham no combate ao #coronavirus carregaram a cruz. Meditações feitas por presos, parentes, voluntários, juiz, carcereiro e um padre preso injustamente me levaram as lágrimas.Como somos injustos,mesquinhos,omissos...#ViaCrucis",Negative,-0.8909999999999999,Negative
27,"Eu devia estar no Sardal, a ser verdadeiramente feliz. Vai pó crl coronavirus",Positive,0.765,Negative
28,"Acreditar no vírus não é exigência obrigatória para contaminar-se. Só é exigido para aqueles que querem proteger-se. #ficaemcasa #coronavirus #ficaadica em Barreiro, Setúbal, Portugal https://www.instagram.com/p/B-zJeOjjYEj/?igshid=bcx5094ppu0k",Negative,-0.1336,Negative
29,VERGONHOSO! AGORA SE PODE MORRER DE TUDO DESDE QUE NÃO VÁ AUMENTAR O GRÁFICO DO CORONAVÍRUS,Negative,-0.8539,Negative
0,louca pra fazer tatuagem q saco corona vírus,Negative,-0.34,Negative
1,"O vídeo que eu vi não mostrou mas bue americanos estavam a responder “ah mas o corona virus não pode ser controlado, uma guerra pode ele não tem culpa disso” mas i mean, ele não fez medidas praticamente nenhumas para evitar a propagação ",Negative,-0.5641,Negative
2,"#29Abril | #Coronavirus 24.505 o número de casos confirmados e 973 mortos em #Portugal, revela o boletim desta quarta-feira #COVID19PT",Positive,0.0772,Neutral
3,"Faz hoje 6 anos em que o Real Madrid esmaga o Bayern por 4-0 na sua casa e Cristiano Ronaldo fez história ao bater mais um recorde europeu, e o próprio levou o Real Madrid até a final de Lisboa no Estádio da Luz. #EFEMERIDE #STOPCOVID19 #Coronavirus #FicaEmCasa #COVID2019",Neutral,0.0,Negative
4,"São tempos de recolhimento e ideal para restruturar o futuro, pensando em novas formas de viver, conviver e amar #civismo #sintra #covid_19 #coronavirus #viver #amor #family #gardens #house #realestateagent… https://www.instagram.com/p/B_j9_aPDelh/?igshid=13f6b9ngx3zrv",Positive,0.91,Neutral
5,Investigadores encontram novo coronavírus em esgotos do estado do Rio de Janeiro http://dlvr.it/RVg6jx Em http://www.TSF.pt,Neutral,0.0,Negative
6,Sistema de vigilância da gripe sazonal vai ser alargado ao novo coronavírus http://dlvr.it/RVg2VT Em http://www.TSF.pt,Negative,-0.3818,Neutral
7,"Paulo Dybala volta a ter teste positivo pela quarta vez em seis semanas. É muito triste, mas é assim. Força, Dybala! #STOPCOVID19 #FicaEmCasa #COVID2019 #Coronavirus ",Positive,0.1016,Positive
8,Os que irão para a Fase de Grupos da Champions na próxima época: PSG e Marselha. 3.ªpré-eliminatória: Rennes. #Ligue1 #STOPCOVID19 #Coronavirus #FicaEmCasa,Positive,0.5267,Negative
9,Este é o 7° corona virus na humidade o último também surgiu num mercado da China só que só se propragava com com sintomas! Foi a Netflix que disse,Neutral,0.0,Positive
10,"Faz hoje também um ano em que foi o título inédito na história do Sporting e de Futsal Português, o título de campeão da Europa de Futsal. 2-1 contra o Kairat na Final de Almaty. #UCLFutsal #FicaEmCasa #STOPCOVID19 #COVID2019 #Coronavirus ",Positive,0.5994,Positive
11,"Faz hoje 18 anos em que o Sporting foi campeão nacional pela última vez. Oxalá que no ano que vêm, seremos campeões nacionais, como também o Liverpool está para ganhar a Premier League ao que não acontecia há 30 anos. #EFEMERIDE #STOPCOVID19 #COVID2019 #Coronavirus #FicaEmCasa",Positive,0.9423,Neutral
12,"@Estadao @correio @GloboNews @policiafederal @MPF_PGR @CNJ_oficial Assim como o combate ao Coronavirus, temos que mudar RADICALMente o acesso a internet, e proibir a divulgação de todas imagens de crianças e adolescentes nas mídias e redes sociais. ",Negative,-0.3818,Neutral
13,"No passado dia 24, adiaram o Grande Prémio da Finlândia em Moto GP por Coronavirus. Até quando que isto para? #FinnishGP #MotoGP #STOPCOVID19 #COVID2019 #Coronavirus #FicaEmCasa",Neutral,0.0,Negative
14,"Esse corona vírus tem que acabar logo, a vida do povo precisa voltar ao normal",Neutral,0.0,Neutral
15,1 milhão de infectados por corona vírus só nos EUA!!!,Negative,-0.7249,Neutral
16,"Minha bebê já não teve bolinho de 1 nem 2 meses por conta do corona vírus, dos 3 meses não pode passar em branco",Neutral,0.0,Positive
17,Síndrome relacionada com coronavírus identificada em crianças no Reino Unido http://dlvr.it/RVYJqh Em http://www.TSF.pt,Neutral,0.0,Neutral
18,"A convite do Chefe do Posto Administrativo de Mabaia, a Helpo realizou uma palestra no Bairro 25 de Setembro, Dombe, Província de Manica, Moçambique, com objectivo de difundir mensagens-chave sobre o novo Coronavírus. #helpo #covid19emmocambique",Neutral,0.0,Negative
19," ""Uma das muitas consequências do novo coronavírus e consequente distanciamento social foi a subversão da indústria cinematográfica."" Confira a opinião no Jornal Económico, da nossa Estudante Inês Pires e do… https://www.instagram.com/p/B_fKr2ohMCK/?igshid=16anlp9j1i4yt",Neutral,0.0,Negative
20,Os jornais desportivos espanhóis de Madrid e de Barcelona unem-se para combater contra o Coromavirus. O lema é o #nuestramejorvictoria. Que serve alguma lição aos jornais desportivos em Portugal. #STOPCOVID19 #COVID2019 #FicaEmCasa #Coronavirus ,Negative,-0.3818,Negative
21,"Seria muito provável que a Final da Taça de Portugal deste ano não vai ser realizada, mas pode ser adiada por Coronavirus, entre o Benfica e o Porto. #FinaldaTaça #STOPCOVID19 #COVID2019 #FicaEmCasa #Coronavirus ",Negative,-0.29600000000000004,Negative
22,"Diogo, 34 anos, ator. O ídolo dele, claro, o melhor do mundo, Cristiano Ronaldo. #BB2020 #BB2020tvi #STOPCOVID19 #COVID2019 #Coronavirus ",Positive,0.6369,Neutral
23,"A Soraia têm 27 anos, e o irmão dela têm o espectro do autismo. Mas ainda assim, continua a ser uma giraça. #BB2020tvi #BB2020 #STOPCOVID19 #FicaEmCasa #COVID2019 #Coronavirus ",Positive,0.6124,Negative
24,"A Jéssica que está a viver na Suíça, apesar de ter nascido em Braga, e não têm namorado (como eu que eu não têm namorada). Mas algum dia, vai encontrar a cara metade nesta casa de Big Brother. #BB2020 #BB2020tvi #FicaEmCasa #STOPCOVID19 #COVID2019 #Coronavirus ",Positive,0.1901,Neutral
25,"Há quantos dias se fala do #Covid19? Desde 31 de dezembro de 2019, pelo menos. Já está muito longe de ser novidade para toda a gente. Menos para a RTP. Para a RTP é sempre o ""novo coronavírus"".",Neutral,0.0,Neutral
26,"A Sónia não percebe nada das cidades, e confundiu Londres por Paris. Na realidade, ela trouxe uma réplica de Big Ben. #BB2020tvi #STOPCOVID19 #FicaEmCasa #Coronavirus ",Negative,-0.3182,Negative
27,Reino Unido regista mais 413 mortes por coronavírus http://dlvr.it/RVV2zW Em http://www.TSF.pt,Neutral,0.0,Negative
28,Irão ultrapassa 90 mil infetados por coronavírus http://dlvr.it/RVTyBH Em http://www.TSF.pt,Negative,-0.4939,Negative
29,corona vírus vai fazer melhorar a habilidade de andar em pé dentro do ônibus em andamento sem tocar em nada ,Positive,0.7906,Negative
0,"#14Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0,Neutral
1,"#14Maio | #Coronavirus 28.319 o número de casos confirmados e 1.184 óbitos em #Portugal, revela o boletim desta quinta-feira #COVID19PT",Positive,0.0772,Neutral
2,"Kkkk aiai To que nem o Emílio Surita, dois assuntos que não aguento mais; Política e Corona Vírus. Chega ",Positive,0.3612,Negative
3,Este ano tava com expectativas de fazer + e melhor e coronavírus fucked me,Negative,-0.3612,Negative
4," Cuidando da minha prima vtrpontes no famoso hotdog de Cascais, Junho 1994. #djponttes #igers #tbt #coronavirus #fiqueemcasa #salvador #dj #djlife #hotdogcascais #emcasa #stayathome #música #music #bahia… https://www.instagram.com/p/CAK4tGOgGYt/?igshid=1hd881k88cb3h",Positive,0.4939,Positive
5," MY NEW GIRLS AT HOME . Depois das obras começou o processo de (re)decoração das divisões, que está atrasado com isto tudo do Corona Vírus, mas depois prometo mostrar tudo! . Outro dos objectivos para esta nova… https://www.instagram.com/p/CAKrP9QHMkx/?igshid=t0uyre6jkmrb",Positive,0.4199,Positive
6,"A língua é uma coisa viva e o acordês é uma língua morta, foi ferida por um vírus pior nos seus efeitos sociais e culturais do que o corona vírus.",Negative,-0.8779,Negative
7,"A #Helpo reabilitou a sala de pediatria do Hospital da Ilha de Moçambique, para internamento exclusivo de pacientes de COVID-19. Este necessidade foi levantada quando, no passado mês, ali entregámos material de desinfeção e proteção individual para o coronavirus. ",Positive,0.128,Positive
8,"A Liga Italiana está de volta. E vai reiniciar a 13 de Junho, que será a data prevista para o reinício. #SerieA #STOPCOVID19 #COVID2019 #FicaEmCasa #Coronavirus ",Neutral,0.0,Neutral
9,13 de Maio 2020. Fim de tarde mágico numa Lisboa apocalíptica nas stories. . #reconnect #takecare #stayhome #reset #gratitude #gratefull #newworld #covid19 #corona #virus #coronavirus #humanity #humbleness… https://www.instagram.com/p/CAJCJhXBehr/?igshid=148w88gfh62iq,Negative,-0.2732,Positive
10,"Quase dois meses após a paragem devido ao surto de #coronavírus, a Autoeuropa retomou a sua produção. Hoje, com o Primeiro-ministro, @antoniocostapm, e o Presidente da República, Marcelo Rebelo de Sousa, visitamos as instalações, assinalando a retoma da atividade. #XXIIGoverno – at Autoeuropa",Negative,-0.1531,Positive
11,Com ou sem Coronavirus estes senhores propagam sempre vírus...,Neutral,0.0,Negative
12,"Estes seriam os 17 artistas da primeira semifinal. A Suécia foi o primeiro que poderia entrar no palco. No dia 14, vai ser diferente com a Elisa. #ESC2020 #EurovisionSongCelebration #Eurovision #STOPCOVID19 #COVID2019 #Coronavirus ",Neutral,0.0,Neutral
13,Até amanhã Stay alive inside coronavirus ,Positive,0.3818,Neutral
14,Se esse tipo de casinho os cara já aumenta um monte imagina sobre a situação do coronavirus... sério. Fdps botam pânico na gente só pra ganharem audiência!,Negative,-0.2244,Negative
15,"ABC: ""Uma oferta de Sol e praias livres de coronavírus"" http://dlvr.it/RWT8V5 Em http://www.TSF.pt",Positive,0.5106,Positive
16,"#11Maio | #Coronavirus 27.679 o número de casos confirmados e 1.144 óbitos em #Portugal, revela o boletim desta segunda-feira #COVID19PT",Positive,0.0772,Neutral
17,Brasil regista 496 mortes e 6760 casos de coronavírus nas últimas 24 horas http://dlvr.it/RWPfRg Em http://www.TSF.pt,Neutral,0.0,Neutral
18,É por isto que amo o que Portugal tem feito para enfrentar o coronavirus #LeaveNoOneBehind,Positive,0.6369,Positive
19,"É uma pena que a Elisa irá a Roterdão este ano na Eurovisão que cancelou por Coronavirus, mas ela e a Marta Carvalho estarão presentes no Eurovision Shine A Light em Hilversum. #Eurovision #EurovisionShineALight #FicaEmCasa #STOPCOVID19",Negative,-0.1531,Neutral
20,Spoiler: Portugal descobriu hoje que a vacina BCG previne o corona vírus.,Positive,0.0772,Positive
21,"David Tavares, jogador do Benfica, infetado pelo novo coronavírus http://dlvr.it/RWNVS4 Em http://www.TSF.pt",Negative,-0.4939,Negative
22,"Filme: Traição necessária “Bruna: Alguns casais deviam de passar por isso, mandei pro ar quem quiser que apanhe, tipo corona vírus” ",Negative,-0.6249,Negative
23,O brasileiro precisa ser estudado onde essas pessoas estão que não viram que o mundo todo se fechou por conta do Corona virus? Estes vivem em uma bolha!!! O que fico mais impressionado que bolsominion parece serem carimbados que não se contaminam!!,Positive,0.6768,Negative
24,"O @guardian mostra a diferença entre Argentina e Brasil no combate ao coronavírus e diz: Bolsonaro dizia que a Argentina estava mais perto de virar uma Venezuela. Mas, diante da Covid, é o Brasil que está mais perto de uma emergência humanitária. ",Negative,-0.631,Negative
25,"Garay, campeão! Recuperado do coronavírus, Garay reencontra os filhos em momento comovente ",Positive,0.636,Positive
26,"Covid19 , Coronavirus, que importa?? ""Porque Ele vive...posso crer no amanhã...eu bem sei que o meu futuro está nas Suas Mãos"" Não é uma canção, é o nosso estilo de vida. Eu espero e creio em JESUS! #bomdia em… https://www.instagram.com/p/CAAHrSTnO30/?igshid=11nt5z40y9qyv",Positive,0.7616,Negative
27,Brasil regista 10.627 mortes e mais de 155 mil casos do novo coronavírus http://dlvr.it/RWM804 Em http://www.TSF.pt,Neutral,0.0,Neutral
28,"Como dizia o grande Arsene Wenger, a era Ronaldo-Messi está a chegar ao fim. O Cristiano têm 35 anos e o Messi vai fazer no próximo mês, 33. Ambos são os melhores da história recente do futebol mundial. #FicaEmCasa #STOPCOVID19 #COVID2019 #Coronavirus ",Positive,0.8934,Neutral
29,Socorrooo entrei no tinder agora e vi que o negocio ta BOMBANDO! Vamoos de #coronaVirus,Neutral,0.0,Neutral
0,#coronavirus monta cerco a lisboa... preparem-se. Vai valer tudo,Positive,0.5267,Neutral
1,"EUA e Brasil, os dois países mais castigados pelo coronavírus, podem ser os dois principais exemplos da falência de um sistema que todo mundo considerava infalível. Votem com responsabilidade! Há linhas que não se pode cruzar!",Negative,-0.6982,Neutral
2,Quais países estão vencendo o coronavírus https://www.osprofanos.com/quais-paises-estao-vencendo-o-coronavirus/ via @osprofanos,Negative,-0.4588,Negative
3,"#29Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0,Negative
4,"Assim como a Fiocruz achou em Niterói, no Rio de Janeiro, pesquisadores em Portugal tb identificaram vestígios do novo coronavírus na rede de esgoto do país. O projeto vai durar um ano e quer ajudar na prevenção de uma nova crise. Conto abaixo. ",Negative,-0.3182,Positive
5,Os Grandes Prémios da Grã-Bretanha e da Austrália em Silverstone e em Philip Island em MotoGP foram canceladas devido a um surto de Coronavirus. Mais dois pódios para o COVID. #COVID2019 #STOPCOVID19 #MotoGP #FicaEmCasa #BritishGP #AustralianGP,Positive,0.7964,Positive
6,Nunca botei fé nesse banho de 5 minutos. Lave bem as mãos. Mas não pare por aí. Capricha no resto também. #coronavirus #nadanavidaéporacaso #andreadovalle em Boca do Inferno https://www.instagram.com/p/CAw6XKFBYHh/?igshid=xnyll71b5sht,Positive,0.2643,Negative
7,Ministra defende respostas sociais para lá do combate ao novo coronavírus http://dlvr.it/RXZ4Wp Em http://www.TSF.pt,Neutral,0.0,Positive
8,Ministra defende respostas sociais para lá do combate ao coronavírus http://dlvr.it/RXXnbW Em http://www.TSF.pt,Negative,-0.3818,Neutral
9,"#27Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0,Positive
10,Os professores viram o coronavirus como uma oportunidade de mandar fazer 500 trabalhos sobre os impactos em tudo,Positive,0.4215,Positive
11,"""Comissão avança esta quarta-feira a sua proposta de revisão do quadro financeiro plurianual e o modelo para o instrumento de recuperação e resiliência em resposta à pandemia do coronavírus."" ",Neutral,0.0,Negative
12,"#26Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0,Neutral
13,Coronavirus agora que toda a gente vai à praia tp nada se passa ,Neutral,0.0,Neutral
